TIMESTAMP,II,,,,
0,-0.03853087,,,,-171
1,-0.060387562,,,,-268
2,-0.102748986,,,,-456
3,-0.150968905,,,,-670
4,-0.154348806,,,,-685
5,-0.101397026,,,,-450
6,-0.051374493,,,,-228
7,-0.05295178,,,,-235
8,-0.07706174,,,,-342
9,-0.069175304,,,,-307
10,-0.025687247,,,,-114
11,0.022532672,,,,100
12,0.064218116,,,,285
13,0.093961244,,,,417
14,0.089905363,,,,399
15,0.052501127,,,,233
16,0.025687247,,,,114
17,0.038305543,,,,170
18,0.064218116,,,,285
19,0.08044164,,,,357
20,0.102748986,,,,456
21,0.13001352,,,,577
22,0.115817936,,,,514
23,0.043713384,,,,194
24,-0.025687247,,,,-114
25,-0.050698513,,,,-225
26,-0.064218116,,,,-285
27,-0.099819739,,,,-443
28,-0.115817936,,,,-514
29,-0.071428571,,,,-317
30,-0.012843623,,,,-57
31,-0.012167643,,,,-54
32,-0.064218116,,,,-285
33,-0.105002253,,,,-466
34,-0.115817936,,,,-514
35,-0.143533123,,,,-637
36,-0.218566922,,,,-970
37,-0.28954484,,,,-1285
38,-0.269941415,,,,-1198
39,-0.130464173,,,,-579
40,0.089905363,,,,399
41,0.351284362,,,,1559
42,0.63001352,,,,2796
43,0.857142857,,,,3804
44,0.925642181,,,,4108
45,0.813204146,,,,3609
46,0.617169896,,,,2739
47,0.421135647,,,,1869
48,0.205723299,,,,913
49,-0.039432177,,,,-175
50,-0.231410545,,,,-1027
51,-0.303064443,,,,-1345
52,-0.308472285,,,,-1369
53,-0.321991888,,,,-1429
54,-0.321541235,,,,-1427
55,-0.26408292,,,,-1172
56,-0.192879676,,,,-856
57,-0.169445696,,,,-752
58,-0.167192429,,,,-742
59,-0.124380352,,,,-552
60,-0.064218116,,,,-285
61,-0.066471384,,,,-295
62,-0.141505183,,,,-628
63,-0.206399279,,,,-916
64,-0.192879676,,,,-856
65,-0.136322668,,,,-605
66,-0.115817936,,,,-514
67,-0.147363677,,,,-654
68,-0.167192429,,,,-742
69,-0.141730509,,,,-629
70,-0.115817936,,,,-514
71,-0.128436233,,,,-570
72,-0.141505183,,,,-628
73,-0.106804867,,,,-474
74,-0.051374493,,,,-228
75,-0.025011266,,,,-111
76,-0.025687247,,,,-114
77,-0.027039207,,,,-120
78,-0.025687247,,,,-114
79,-0.005858495,,,,-26
80,0.064218116,,,,285
81,0.14646237,,,,650
82,0.128661559,,,,571
83,-0.014871564,,,,-66
84,-0.154348806,,,,-685
85,-0.16922037,,,,-751
86,-0.102748986,,,,-456
87,-0.063091483,,,,-280
88,-0.064218116,,,,-285
89,-0.05295178,,,,-235
90,-0.025687247,,,,-114
91,-0.017800811,,,,-79
92,-0.025687247,,,,-114
93,-0.018251465,,,,-81
94,0,,,,0
95,0.001802614,,,,8
96,-0.012843623,,,,-57
97,-0.02478594,,,,-110
98,-0.03853087,,,,-171
99,-0.070977918,,,,-315
100,-0.115817936,,,,-514
101,-0.147363677,,,,-654
102,-0.154348806,,,,-685
103,-0.141505183,,,,-628
104,-0.115817936,,,,-514
105,-0.088102749,,,,-391
106,-0.07706174,,,,-342
107,-0.090581343,,,,-402
108,-0.115817936,,,,-514
109,-0.129562866,,,,-575
110,-0.115817936,,,,-514
111,-0.066922037,,,,-297
112,0,,,,0
113,0.029743128,,,,132
114,-0.025687247,,,,-114
115,-0.135646688,,,,-602
116,-0.205723299,,,,-913
117,-0.192879676,,,,-856
118,-0.154348806,,,,-685
119,-0.152771519,,,,-678
120,-0.167192429,,,,-742
121,-0.144659757,,,,-642
122,-0.089905363,,,,-399
123,-0.048895899,,,,-217
124,-0.03853087,,,,-171
125,-0.042361424,,,,-188
126,-0.051374493,,,,-228
127,-0.061288869,,,,-272
128,-0.051374493,,,,-228
129,-0.003605228,,,,-16
130,0.064218116,,,,285
131,0.114015322,,,,506
132,0.128661559,,,,571
133,0.120549797,,,,535
134,0.102748986,,,,456
135,0.075033799,,,,333
136,0.03853087,,,,171
137,0.015322217,,,,68
138,0.025687247,,,,114
139,0.055430374,,,,246
140,0.064218116,,,,285
141,0.035826949,,,,159
142,0,,,,0
143,-0.020054078,,,,-89
144,-0.03853087,,,,-171
145,-0.074132492,,,,-329
146,-0.102748986,,,,-456
147,-0.089004056,,,,-395
148,-0.03853087,,,,-171
149,0.008111762,,,,36
150,0.012843623,,,,57
151,-0.042136097,,,,-187
152,-0.154348806,,,,-685
153,-0.281658405,,,,-1250
154,-0.360072105,,,,-1598
155,-0.35691753,,,,-1584
156,-0.282785038,,,,-1255
157,-0.131816133,,,,-585
158,0.128661559,,,,571
159,0.476566021,,,,2115
160,0.797205949,,,,3538
161,0.97318612,,,,4319
162,0.977242001,,,,4337
163,0.843623254,,,,3744
164,0.604326273,,,,2682
165,0.300135196,,,,1332
166,0.012843623,,,,57
167,-0.180036052,,,,-799
168,-0.269941415,,,,-1198
169,-0.294952681,,,,-1309
170,-0.282785038,,,,-1255
171,-0.251464624,,,,-1116
172,-0.231410545,,,,-1027
173,-0.240423614,,,,-1067
174,-0.257097792,,,,-1141
175,-0.250788644,,,,-1113
176,-0.218566922,,,,-970
177,-0.166065795,,,,-737
178,-0.102748986,,,,-456
179,-0.067823344,,,,-301
180,-0.102748986,,,,-456
181,-0.168769716,,,,-749
182,-0.167192429,,,,-742
183,-0.094862551,,,,-421
184,-0.064218116,,,,-285
185,-0.136998648,,,,-608
186,-0.218566922,,,,-970
187,-0.211581794,,,,-939
188,-0.154348806,,,,-685
189,-0.126182965,,,,-560
190,-0.115817936,,,,-514
191,-0.079540333,,,,-353
192,-0.051374493,,,,-228
193,-0.073681839,,,,-327
194,-0.102748986,,,,-456
195,-0.076385759,,,,-339
196,-0.025687247,,,,-114
197,-0.019603425,,,,-87
198,-0.051374493,,,,-228
199,-0.059035602,,,,-262
200,-0.025687247,,,,-114
201,0.012618297,,,,56
202,0.025687247,,,,114
203,0.010139703,,,,45
204,-0.025687247,,,,-114
205,-0.052050473,,,,-231
206,-0.03853087,,,,-171
207,-0.004506534,,,,-20
208,-0.012843623,,,,-57
209,-0.079990987,,,,-355
210,-0.141505183,,,,-628
211,-0.136322668,,,,-605
212,-0.089905363,,,,-399
213,-0.065795403,,,,-292
214,-0.07706174,,,,-342
215,-0.090130689,,,,-400
216,-0.089905363,,,,-399
217,-0.091031996,,,,-404
218,-0.102748986,,,,-456
219,-0.117845877,,,,-523
220,-0.128661559,,,,-571
221,-0.128661559,,,,-571
222,-0.115817936,,,,-514
223,-0.102298333,,,,-454
224,-0.102748986,,,,-456
225,-0.099819739,,,,-443
226,-0.064218116,,,,-285
227,-0.020955385,,,,-93
228,-0.03853087,,,,-171
229,-0.128436233,,,,-570
230,-0.205723299,,,,-913
231,-0.194907616,,,,-865
232,-0.128661559,,,,-571
233,-0.093735917,,,,-416
234,-0.115817936,,,,-514
235,-0.144885083,,,,-643
236,-0.141505183,,,,-628
237,-0.117845877,,,,-523
238,-0.102748986,,,,-456
239,-0.099819739,,,,-443
240,-0.089905363,,,,-399
241,-0.061739522,,,,-274
242,-0.025687247,,,,-114
243,-0.002703921,,,,-12
244,0,,,,0
245,-0.00067598,,,,-3
246,0.012843623,,,,57
247,0.033799009,,,,150
248,0.03853087,,,,171
249,0.020279405,,,,90
250,0,,,,0
251,0.006759802,,,,30
252,0.03853087,,,,171
253,0.062640829,,,,278
254,0.051374493,,,,228
255,0.028391167,,,,126
256,0.03853087,,,,171
257,0.074132492,,,,329
258,0.07706174,,,,342
259,0.018927445,,,,84
260,-0.051374493,,,,-228
261,-0.082920234,,,,-368
262,-0.07706174,,,,-342
263,-0.053402434,,,,-237
264,-0.012843623,,,,-57
265,0.020955385,,,,93
266,-0.012843623,,,,-57
267,-0.125732312,,,,-558
268,-0.244254169,,,,-1084
269,-0.308472285,,,,-1369
270,-0.347228481,,,,-1541
271,-0.391392519,,,,-1737
272,-0.385759351,,,,-1712
273,-0.255069851,,,,-1132
274,-0.012843623,,,,-57
275,0.267237494,,,,1186
276,0.540108157,,,,2397
277,0.785263632,,,,3485
278,0.951329428,,,,4222
279,0.970707526,,,,4308
280,0.822893195,,,,3652
281,0.55430374,,,,2460
282,0.244254169,,,,1084
283,-0.024109959,,,,-107
284,-0.192879676,,,,-856
285,-0.261379,,,,-1160
286,-0.282785038,,,,-1255
287,-0.304416404,,,,-1351
288,-0.321541235,,,,-1427
289,-0.304641731,,,,-1352
290,-0.257097792,,,,-1141
291,-0.219017575,,,,-972
292,-0.218566922,,,,-970
293,-0.233663813,,,,-1037
294,-0.218566922,,,,-970
295,-0.159981974,,,,-710
296,-0.102748986,,,,-456
297,-0.105002253,,,,-466
298,-0.167192429,,,,-742
299,-0.226453357,,,,-1005
300,-0.218566922,,,,-970
301,-0.155250113,,,,-689
302,-0.102748986,,,,-456
303,-0.110860748,,,,-492
304,-0.154348806,,,,-685
305,-0.168995043,,,,-750
306,-0.128661559,,,,-571
307,-0.072555205,,,,-322
308,-0.051374493,,,,-228
309,-0.058359621,,,,-259
310,-0.051374493,,,,-228
311,-0.029517801,,,,-131
312,-0.03853087,,,,-171
313,-0.082469581,,,,-366
314,-0.102748986,,,,-456
315,-0.067147364,,,,-298
316,-0.025687247,,,,-114
317,-0.025011266,,,,-111
318,-0.03853087,,,,-171
319,-0.027039207,,,,-120
320,-0.012843623,,,,-57
321,-0.029292474,,,,-130
322,-0.051374493,,,,-228
323,-0.039432177,,,,-175
324,-0.012843623,,,,-57
325,-0.011942316,,,,-53
326,-0.025687247,,,,-114
327,-0.015772871,,,,-70
328,0.012843623,,,,57
329,0.019603425,,,,87
330,-0.012843623,,,,-57
331,-0.065795403,,,,-292
332,-0.115817936,,,,-514
333,-0.144209103,,,,-640
334,-0.141505183,,,,-628
335,-0.118521857,,,,-526
336,-0.102748986,,,,-456
337,-0.096665164,,,,-429
338,-0.07706174,,,,-342
339,-0.044614691,,,,-198
340,-0.03853087,,,,-171
341,-0.074808472,,,,-332
342,-0.115817936,,,,-514
343,-0.128661559,,,,-571
344,-0.128661559,,,,-571
345,-0.127760252,,,,-567
346,-0.102748986,,,,-456
347,-0.051374493,,,,-228
348,-0.025687247,,,,-114
349,-0.059936909,,,,-266
350,-0.115817936,,,,-514
351,-0.147814331,,,,-656
352,-0.167192429,,,,-742
353,-0.190851735,,,,-847
354,-0.192879676,,,,-856
355,-0.15750338,,,,-699
356,-0.128661559,,,,-571
357,-0.138350608,,,,-614
358,-0.141505183,,,,-628
359,-0.081342947,,,,-361
360,0.012843623,,,,57
361,0.061739522,,,,274
362,0.03853087,,,,171
363,-0.007886435,,,,-35
364,-0.025687247,,,,-114
365,-0.004055881,,,,-18
366,0.03853087,,,,171
367,0.082694908,,,,367
368,0.115817936,,,,514
369,0.13271744,,,,589
370,0.128661559,,,,571
371,0.096439838,,,,428
372,0.03853087,,,,171
373,-0.018476791,,,,-82
374,-0.03853087,,,,-171
375,-0.024335286,,,,-108
376,-0.012843623,,,,-57
377,-0.034700315,,,,-154
378,-0.07706174,,,,-342
379,-0.118071203,,,,-524
380,-0.154348806,,,,-685
381,-0.18431726,,,,-818
382,-0.192879676,,,,-856
383,-0.17192429,,,,-763
384,-0.141505183,,,,-628
385,-0.124380352,,,,-552
386,-0.128661559,,,,-571
387,-0.161784588,,,,-718
388,-0.231410545,,,,-1027
389,-0.295628662,,,,-1312
390,-0.257097792,,,,-1141
391,-0.046191978,,,,-205
392,0.295628662,,,,1312
393,0.644209103,,,,2859
394,0.887111311,,,,3937
395,0.977467328,,,,4338
396,0.912798558,,,,4051
397,0.713159081,,,,3165
398,0.424290221,,,,1883
399,0.122803064,,,,545
400,-0.115817936,,,,-514
401,-0.255745831,,,,-1135
402,-0.308472285,,,,-1369
403,-0.302388463,,,,-1342
404,-0.257097792,,,,-1141
405,-0.188147814,,,,-835
406,-0.128661559,,,,-571
407,-0.123253718,,,,-547
408,-0.180036052,,,,-799
409,-0.238395674,,,,-1058
410,-0.231410545,,,,-1027
411,-0.173276251,,,,-769
412,-0.141505183,,,,-628
413,-0.159305994,,,,-707
414,-0.167192429,,,,-742
415,-0.134970708,,,,-599
416,-0.115817936,,,,-514
417,-0.153222172,,,,-680
418,-0.192879676,,,,-856
419,-0.171698963,,,,-762
420,-0.115817936,,,,-514
421,-0.089905363,,,,-399
422,-0.089905363,,,,-399
423,-0.06466877,,,,-287
424,-0.012843623,,,,-57
425,0.019603425,,,,87
426,0.012843623,,,,57
427,-0.008337089,,,,-37
428,-0.025687247,,,,-114
429,-0.047093285,,,,-209
430,-0.07706174,,,,-342
431,-0.095313204,,,,-423
432,-0.07706174,,,,-342
433,-0.020279405,,,,-90
434,0.03853087,,,,171
435,0.045966652,,,,204
436,-0.012843623,,,,-57
437,-0.075709779,,,,-336
438,-0.064218116,,,,-285
439,0.01374493,,,,61
440,0.064218116,,,,285
441,0.031095088,,,,138
442,-0.03853087,,,,-171
443,-0.069625958,,,,-309
444,-0.051374493,,,,-228
445,-0.010590356,,,,-47
446,0.03853087,,,,171
447,0.071653898,,,,318
448,0.03853087,,,,171
449,-0.063316809,,,,-281
450,-0.154348806,,,,-685
451,-0.163587201,,,,-726
452,-0.115817936,,,,-514
453,-0.070301938,,,,-312
454,-0.03853087,,,,-171
455,-0.011266336,,,,-50
456,-0.012843623,,,,-57
457,-0.060387562,,,,-268
458,-0.115817936,,,,-514
459,-0.134970708,,,,-599
460,-0.128661559,,,,-571
461,-0.124380352,,,,-552
462,-0.115817936,,,,-514
463,-0.09215863,,,,-409
464,-0.07706174,,,,-342
465,-0.089229383,,,,-396
466,-0.102748986,,,,-456
467,-0.087652096,,,,-389
468,-0.064218116,,,,-285
469,-0.077512393,,,,-344
470,-0.128661559,,,,-571
471,-0.170797657,,,,-758
472,-0.167192429,,,,-742
473,-0.128661559,,,,-571
474,-0.089905363,,,,-399
475,-0.060162235,,,,-267
476,-0.025687247,,,,-114
477,0.007435782,,,,33
478,0.012843623,,,,57
479,-0.003154574,,,,-14
480,0,,,,0
481,0.029292474,,,,130
482,0.03853087,,,,171
483,0.013294277,,,,59
484,0,,,,0
485,0.023659306,,,,105
486,0.03853087,,,,171
487,0.023884633,,,,106
488,0.03853087,,,,171
489,0.12032447,,,,534
490,0.192879676,,,,856
491,0.154799459,,,,687
492,0.025687247,,,,114
493,-0.088328076,,,,-392
494,-0.128661559,,,,-571
495,-0.1306895,,,,-580
496,-0.141505183,,,,-628
497,-0.154799459,,,,-687
498,-0.141505183,,,,-628
499,-0.103199639,,,,-458
500,-0.07706174,,,,-342
,,,,0,
,,,,0,
,,,,0,
